Direction,District,Elevator,Floor,Garden,Id,Layout,Price,Region,Renovation,Size,UnitPrice,Year
南北,双桥,板楼,6,华美橡树岭,101113492727,2室1厅, 388万,朝阳,精装,91.0,"42,614元/平",2008
南,四惠,塔楼,26,京棉新城三厂,101113470547,1室1厅, 428万,朝阳,精装,71.0,"60,223元/平",2011
西南东北东,西坝河,板楼,7,西坝河北里,101113381772,3室1厅, 705万,朝阳,简装,96.0,"73,430元/平",1995
东南,酒仙桥,塔楼,25,将府家园,101113430553,3室1厅, 830万,朝阳,精装,147.0,"56,452元/平",2004
西,常营,板楼,11,柏林爱乐一期,101113439566,1室1厅, 388万,朝阳,精装,63.0,"60,882元/平",2002
东西,红庙,板楼,11,华业玫瑰东方,101111608542,4室2厅, 1300万,朝阳,精装,99.0,"130,170元/平",2007
东,劲松,塔楼,19,建业苑(松榆北路7号院),101112124029,5室2厅, 880万,朝阳,精装,99.0,"88,080元/平",2001
南北,朝青,板楼,15,润枫水尚西区,101113449693,2室1厅, 949万,朝阳,其他,105.0,"90,201元/平",2008
南北,朝青,板楼,13,润枫水尚东区,101113459983,3室1厅, 1460万,朝阳,精装,162.0,"89,808元/平",2008
南东,东大桥,塔楼,31,新城国际,101113099722,3室2厅, 1800万,朝阳,精装,147.0,"122,109元/平",2005
南,常营,板楼,28,北京新天地二期,101113447716,2室1厅, 565万,朝阳,精装,101.0,"55,589元/平",2008
南北,朝青,板塔结合,19,天鹅湾南区,101113454101,3室2厅, 1420万,朝阳,精装,179.0,"78,924元/平",2009
南西北,朝阳公园,塔楼,30,棕榈泉国际公寓,101113444258,3室2厅, 1798万,朝阳,精装,176.0,"101,859元/平",2003
南,劲松,板楼,6,农光东里,101113443711,2室1厅, 365万,朝阳,简装,60.0,"60,152元/平",1985
西北,朝阳门外,塔楼,16,东大桥路,101113492837,2室1厅, 564万,朝阳,精装,64.0,"87,728元/平",1983
东南,酒仙桥,塔楼,18,燕莎后,101113443634,2室1厅, 875万,朝阳,精装,110.0,"79,308元/平",2006
南北,望京,板楼,25,保利中央公园,101113465165,3室2厅, 1750万,朝阳,精装,122.0,"142,706元/平",2014
西南北,三里屯,板楼,18,首开铂郡12号院,101113470845,3室2厅, 1895万,朝阳,其他,205.0,"92,255元/平",2011
南北,中关村,板楼,6,大泥湾,101112213380,2室1厅, 788万,海淀,精装,58.0,"134,242元/平",1989
西,清河,板楼,6,观澳园,101104453279,1室0厅, 325万,海淀,简装,41.0,"78,884元/平",2007
南北,清河,板楼,6,宝盛北里,101112937650,2室2厅, 715万,海淀,其他,105.0,"67,966元/平",2004
东南,双榆树,塔楼,16,双榆树西里,101112839726,2室1厅, 730万,海淀,精装,59.0,"122,834元/平",1988
南,军博,板楼,6,羊坊店东路5号院,101112505299,2室1厅, 750万,海淀,精装,62.0,"120,773元/平",1982
南,紫竹桥,板塔结合,20,气象西苑,101112800420,3室2厅, 1198万,海淀,简装,113.0,"105,217元/平",2000
南北,五道口,板楼,5,中关村北一条,101112646887,3室1厅, 1380万,海淀,精装,79.0,"172,933元/平",1990
南北,双榆树,板楼,6,知春东里,101111872398,3室1厅, 1178万,海淀,精装,76.0,"154,189元/平",1988
南北,苏州桥,板楼,11,大河庄苑,101110639393,3室2厅, 1800万,海淀,简装,142.0,"126,663元/平",2004
东南北,田村,板楼,6,田村48号院,101112660414,3室1厅, 490万,海淀,精装,60.0,"81,126元/平",1982
东南北,皂君庙,板楼,6,青云南区,101112315692,3室1厅, 1518万,海淀,简装,129.0,"117,248元/平",2000
南北,西三旗,塔楼,14,育新嘉园,101111628083,3室2厅, 950万,海淀,简装,152.0,"62,431元/平",2004
南北,魏公村,板楼,6,三义庙南1号,101111680337,3室1厅, 665万,海淀,简装,72.0,"91,978元/平",1988
南,万柳,塔楼,16,阳春光华家园,101111708995,3室2厅, 1500万,海淀,精装,105.0,"142,100元/平",2000
东北,万柳,板塔结合,16,阳春光华家园,101111463506,3室1厅, 1799万,海淀,精装,126.0,"142,439元/平",1999
南北,马连洼,板楼,7,天秀花园古月园,101113034219,4室2厅, 1560万,海淀,精装,188.0,"82,632元/平",2003
东西,杨庄,板楼,7,建西苑南里,101113062791,3室1厅, 620万,海淀,其他,108.0,"57,270元/平",1998
东南,小西天,板塔结合,16,师大北路21号院,101112852683,2室2厅, 952万,海淀,精装,93.0,"102,037元/平",1999
南北,上地,板楼,6,上地南路6号院,101111816147,3室1厅, 1320万,海淀,其他,120.0,"109,272元/平",1998
东南北,马连洼,板楼,7,天秀花园古月园,101112064202,3室2厅, 1399万,海淀,精装,159.0,"87,602元/平",2004
南北,学院路,板楼,13,清枫华景园,101112916610,3室1厅, 1298万,海淀,精装,131.0,"98,528元/平",2005
南北,田村,板楼,11,兰德华庭,101112613584,3室2厅, 1360万,海淀,精装,139.0,"97,178元/平",2006
东西北,新街口,塔楼,18,城建小区,101112739858,3室1厅, 880万,海淀,简装,80.0,"109,946元/平",1985
南北,马连洼,板楼,5,六一幼儿园家属楼,101113090700,3室1厅, 610万,海淀,精装,61.0,"98,658元/平",1982
东南,科技园区,塔楼,29,天龙华鹤,101113261390,2室1厅, 425万,丰台,简装,63.0,"66,438元/平",2008
南北,马家堡,板楼,10,益明园,101113228801,5室2厅, 1550万,丰台,精装,238.0,"65,042元/平",2004
东南北,方庄,板楼,17,芳城园一区,101113231961,3室1厅, 1050万,丰台,精装,187.0,"56,024元/平",1997
南,丰台其它,板楼,6,珠光逸景一期,101112779515,1室1厅, 208万,丰台,简装,55.0,"37,512元/平",2013
南北,丰台其它,板楼,6,南宫雅苑二期,101111746737,3室2厅, 445万,丰台,精装,148.0,"29,937元/平",2009
东南,右安门外,板楼,6,右外西二条,101108722443,3室1厅, 500万,丰台,简装,78.0,"63,939元/平",1990
南北,角门,板楼,6,角门甲4号院,101110832270,3室2厅, 455万,丰台,精装,65.0,"69,118元/平",2000
西北南,科技园区,塔楼,24,南极星,101112095206,3室1厅, 525万,丰台,精装,113.0,"46,187元/平",2001
西南,青塔,板塔结合,24,汇锦苑,101112596116,3室1厅, 588万,丰台,精装,106.0,"55,347元/平",2005
南,赵公口,塔楼,20,康泽园,101111810569,2室1厅, 458万,丰台,精装,93.0,"48,823元/平",2001
南北,丰台其它,板楼,6,汤泉墅,101111604324,3室1厅, 296万,丰台,精装,93.0,"31,658元/平",2011
西南,科技园区,塔楼,30,怡海花园富润园,101112724784,2室1厅, 625万,丰台,简装,103.0,"60,516元/平",2002
南,木樨园,板塔结合,22,南曦大厦,101113159642,2室1厅, 600万,丰台,简装,110.0,"54,398元/平",2004
南北,大红门,板楼,6,建欣苑二里,101112257882,2室1厅, 438万,丰台,精装,83.0,"52,676元/平",2000
西南,方庄,塔楼,25,紫芳园一区,101110527128,2室1厅, 511万,丰台,精装,72.0,"70,581元/平",2000
北,方庄,塔楼,23,gogo新世代,101112715960,1室1厅, 386万,丰台,简装,55.0,"69,713元/平",2005
南北,丰台其它,板楼,6,卢西嘉园,101110934111,2室1厅, 308万,丰台,简装,87.0,"35,358元/平",2006
南北,科技园区,板楼,7,富锦嘉园四区,101112807778,3室1厅, 625万,丰台,简装,109.0,"57,224元/平",2002
南北,卢沟桥,板楼,6,卢沟桥南里,101113034033,2室1厅, 313万,丰台,精装,79.0,"39,481元/平",2002
南北,丰台其它,塔楼,11,珠江御景,101113128250,3室2厅, 439万,丰台,精装,137.0,"31,986元/平",2010
南北,卢沟桥,板楼,6,晓月苑一里,101104968813,3室1厅, 386万,丰台,简装,86.0,"44,785元/平",1997
东,刘家窑,板楼,6,鑫兆雅园北区,101113106401,1室1厅, 420万,丰台,简装,56.0,"74,853元/平",2005
南北,五棵松,板楼,14,京铁家园,101113029995,3室2厅, 726万,丰台,简装,138.0,"52,491元/平",2002
东南,北京南站,塔楼,18,开阳里六区,101113008886,2室1厅, 670万,丰台,简装,83.0,"79,934元/平",2002
南北,玉泉营,板楼,5,郑王坟141号院,101112187211,2室1厅, 420万,丰台,简装,71.0,"58,578元/平",1983
南北,玉泉营,板楼,16,鸿业兴园一区,101110466087,3室2厅, 815万,丰台,精装,129.0,"63,047元/平",2006
西,成寿寺,塔楼,24,四方景园五区,101111491484,2室1厅, 490万,丰台,简装,80.0,"60,569元/平",1999
东西,果园,板楼,6,交通局家属院,101109009092,2室1厅, 290万,通州,其他,63.0,"45,763元/平",1994
南北,临河里,板楼,10,金隅花石匠二期西区,101112034652,2室1厅, 525万,通州,精装,88.0,"59,329元/平",2012
南北,潞苑,板楼,6,东潞苑,101111388325,3室1厅, 398万,通州,简装,120.0,"33,016元/平",2000
南,九棵树(家乐福),板楼,6,翠屏南里,101110500222,3室1厅, 402万,通州,简装,99.0,"40,574元/平",1997
南北,梨园,板楼,6,梨花园,101112310011,2室2厅, 395万,通州,精装,96.0,"41,044元/平",1996
南北,万达,板楼,6,同心嘉园,101111494965,2室2厅, 590万,通州,精装,101.0,"58,249元/平",2001
南北,武夷花园,板塔结合,29,京贸家园,101107482724,3室1厅, 455万,通州,简装,89.0,"50,618元/平",2010
南北,马驹桥,板楼,6,样本,101111281784,3室1厅, 515万,通州,精装,133.0,"38,638元/平",2006
南北,马驹桥,板楼,6,样本,101112908835,3室2厅, 518万,通州,精装,147.0,"35,076元/平",2006
西,通州北苑,塔楼,24,京贸国际公寓,101107772725,2室1厅, 380万,通州,精装,95.0,"39,774元/平",2004
南北,果园,板楼,7,新华联家园南区,101109947484,3室1厅, 565万,通州,精装,124.0,"45,371元/平",2002
东北,通州北苑,塔楼,29,京贸国际公寓,101111271477,3室1厅, 680万,通州,精装,140.0,"48,492元/平",2004
南北,北关,板楼,7,富河园,101113133206,2室1厅, 383万,通州,简装,103.0,"37,005元/平",1998
南北,万达,板楼,6,东营前街,101112755493,1室2厅, 273万,通州,精装,67.0,"40,171元/平",2001
南北,通州其它,板塔结合,11,首开缇香郡二期,101112510955,3室2厅, 485万,通州,精装,147.0,"32,893元/平",2015
南北,通州北苑,板楼,6,新华联锦园,101111757265,2室1厅, 393万,通州,精装,84.0,"46,361元/平",2003
南北,九棵树(家乐福),板楼,6,龙鼎园,101112937198,4室2厅, 550万,通州,简装,153.0,"35,796元/平",2004
南北,临河里,板楼,20,香溪家园,101112417447,2室1厅, 495万,通州,简装,89.0,"55,612元/平",2016
南北,万达,板楼,6,潞河中学家属院南区,101112279175,3室1厅, 395万,通州,简装,99.0,"39,623元/平",1986
南北,万达,板塔结合,12,在水一方,101111643936,2室2厅, 473万,通州,精装,113.0,"41,840元/平",2004
南,马驹桥,板塔结合,18,合生世界花园,101111289245,3室1厅, 365万,通州,精装,114.0,"32,018元/平",2014
东南北,马驹桥,板楼,21,东亚瑞晶苑,101111209242,2室1厅, 235万,通州,简装,79.0,"29,409元/平",2011
南北,万达,板楼,6,玉带河西街,101112039424,3室1厅, 495万,通州,简装,120.0,"41,237元/平",1999
南北,果园,板楼,6,天元小区,101112907874,2室1厅, 385万,通州,精装,79.0,"48,210元/平",1998
西,万达,塔楼,18,潇雅居,101105115862,3室1厅, 650万,通州,简装,130.0,"49,908元/平",2002
南北,万达,板楼,6,西营前街,101112394292,2室1厅, 235万,通州,简装,58.0,"40,151元/平",1981
南北,九棵树(家乐福),板楼,6,龙鼎园,101112898433,3室1厅, 510万,通州,简装,130.0,"38,953元/平",2004
南北,万达,板楼,6,中仓小区,101112996073,2室1厅, 265万,通州,简装,67.0,"39,500元/平",1991
南北,沙河,板楼,9,北一街8号,101112373638,3室1厅, 668万,昌平,精装,162.0,"41,179元/平",2006
南北,东关,板楼,6,建安里小区,101112141292,3室2厅, 400万,昌平,其他,116.0,"34,406元/平",1996
